"feature","importance"
"ENSBTAG00000016648-ENSBTAG00000015910",0
"ENSBTAG00000037899-ENSBTAG00000022799",0
"ENSBTAG00000013155-ENSBTAG00000019289",0
"ENSBTAG00000014906-ENSBTAG00000011578",0
"ENSBTAG00000007737-ENSBTAG00000002144",0
"ENSBTAG00000020676-ENSBTAG00000011578",0
"ENSBTAG00000038735-ENSBTAG00000016948",0
"ENSBTAG00000025644-ENSBTAG00000011425",0
"ENSBTAG00000000793-ENSBTAG00000015910",0
"ENSBTAG00000011412-ENSBTAG00000019289",0
"ENSBTAG00000021105-ENSBTAG00000013205",0
"ENSBTAG00000007319-ENSBTAG00000007909",0
"ENSBTAG00000025644-ENSBTAG00000020667",0
"ENSBTAG00000000575-ENSBTAG00000013745",0
"ENSBTAG00000017280-ENSBTAG00000017060",0
"ENSBTAG00000003505-ENSBTAG00000011628",0
"ENSBTAG00000021466-ENSBTAG00000010682",0
"ENSBTAG00000015043-ENSBTAG00000007909",0
"ENSBTAG00000017246-ENSBTAG00000006161",0
"ENSBTAG00000010663-ENSBTAG00000013745",0
"ENSBTAG00000012849-ENSBTAG00000019289",0
"ENSBTAG00000005947-ENSBTAG00000015910",0
"ENSBTAG00000005947-ENSBTAG00000013755",0
"ENSBTAG00000013472-ENSBTAG00000017866",0
"ENSBTAG00000000575-ENSBTAG00000015910",0
"ENSBTAG00000017745-ENSBTAG00000010423",0
"ENSBTAG00000015352-ENSBTAG00000012599",0
"ENSBTAG00000001745-ENSBTAG00000019289",0
"ENSBTAG00000017246-ENSBTAG00000002144",0
"ENSBTAG00000032436-ENSBTAG00000022799",0
"ENSBTAG00000025644-ENSBTAG00000026813",0
"ENSBTAG00000008237-ENSBTAG00000013205",0
"ENSBTAG00000010663-ENSBTAG00000015910",0
"ENSBTAG00000011585-ENSBTAG00000015046",0
"ENSBTAG00000007737-ENSBTAG00000010444",0
"ENSBTAG00000021105-ENSBTAG00000000477",0
"ENSBTAG00000032436-ENSBTAG00000007909",0
"ENSBTAG00000013155-ENSBTAG00000015910",0
"ENSBTAG00000021316-ENSBTAG00000015910",0
"ENSBTAG00000015114-ENSBTAG00000017489",0
"ENSBTAG00000018200-ENSBTAG00000007626",0
"ENSBTAG00000019910-ENSBTAG00000015510",0
"ENSBTAG00000022514-ENSBTAG00000013730",0
"ENSBTAG00000010963-ENSBTAG00000003255",0
"ENSBTAG00000005198-ENSBTAG00000010543",0
"ENSBTAG00000015801-ENSBTAG00000015510",0
"ENSBTAG00000017246-ENSBTAG00000012599",0
"ENSBTAG00000012817-ENSBTAG00000022799",0
"ENSBTAG00000000575-ENSBTAG00000020679",0
"ENSBTAG00000014075-ENSBTAG00000012887",0
"ENSBTAG00000014113-ENSBTAG00000001338",0
"ENSBTAG00000015991-ENSBTAG00000024015",0
"ENSBTAG00000034501-ENSBTAG00000005397",0
"ENSBTAG00000013103-ENSBTAG00000011578",0
"ENSBTAG00000017312-ENSBTAG00000039292",0
"ENSBTAG00000007268-ENSBTAG00000015910",0
"ENSBTAG00000005947-ENSBTAG00000013745",0
"ENSBTAG00000005077-ENSBTAG00000009851",0
"ENSBTAG00000017753-ENSBTAG00000020979",0
"ENSBTAG00000006989-ENSBTAG00000011971",0
"ENSBTAG00000019267-ENSBTAG00000011578",0
"ENSBTAG00000007737-ENSBTAG00000014064",0
"ENSBTAG00000017246-ENSBTAG00000012314",0
"ENSBTAG00000019336-ENSBTAG00000002107",0
"ENSBTAG00000025471-ENSBTAG00000024928",0
"ENSBTAG00000013201-ENSBTAG00000020319",0
"ENSBTAG00000007737-ENSBTAG00000012314",0
"ENSBTAG00000032808-ENSBTAG00000004211",0
"ENSBTAG00000012004-ENSBTAG00000024269",0
"ENSBTAG00000025644-ENSBTAG00000019021",0
"ENSBTAG00000018103-ENSBTAG00000017753",0
"ENSBTAG00000013760-ENSBTAG00000003585",0
"ENSBTAG00000007148-ENSBTAG00000034848",0
"ENSBTAG00000021499-ENSBTAG00000008036",0
"ENSBTAG00000016542-ENSBTAG00000015910",0
"ENSBTAG00000014218-ENSBTAG00000011761",0
"ENSBTAG00000018463-ENSBTAG00000011578",0
"ENSBTAG00000012398-ENSBTAG00000012314",0
"ENSBTAG00000018343-ENSBTAG00000004211",0
"ENSBTAG00000003253-ENSBTAG00000007665",0
"ENSBTAG00000005260-ENSBTAG00000013745",0
"ENSBTAG00000037899-ENSBTAG00000007909",0
"ENSBTAG00000015327-ENSBTAG00000011425",0
"ENSBTAG00000011104-ENSBTAG00000018300",0
"ENSBTAG00000005359-ENSBTAG00000008997",0
"ENSBTAG00000000016-ENSBTAG00000024928",0
"ENSBTAG00000006276-ENSBTAG00000047138",0
"ENSBTAG00000007273-ENSBTAG00000012314",0
"ENSBTAG00000009212-ENSBTAG00000012314",0
"ENSBTAG00000018255-ENSBTAG00000015127",0
"ENSBTAG00000005339-ENSBTAG00000003166",0
"ENSBTAG00000007737-ENSBTAG00000018035",0
"ENSBTAG00000004924-ENSBTAG00000039292",0
"ENSBTAG00000019993-ENSBTAG00000039292",0
"ENSBTAG00000020221-ENSBTAG00000005092",0
"ENSBTAG00000021302-ENSBTAG00000019289",0
"ENSBTAG00000009478-ENSBTAG00000002081",-0.03125
"ENSBTAG00000005339-ENSBTAG00000011971",-0.03125
"ENSBTAG00000020661-ENSBTAG00000017851",-0.03125
